player,team,position,age,club,appearances,starts,minutes,goals,assists,take_ons,def_line_breaks,attacking_movement,pressing,output_rating,generation_rating,overall_rating
Eldor SHOMURODOV,Uzbekistan,FW,30,Başakşehir,3,3,270,1,0,9,4,84,85,20.0,39.0,30.0
Kaishu SANO,Japan,MF,25,Mainz 05,3,3,270,1,1,5,1,38,94,34.0,26.0,30.0
Matias GALARZA,Paraguay,MF,24,Atlanta Utd,4,4,390,1,1,8,6,41,136,27.0,32.0,29.0
Yasin AYARI,Sweden,MF,22,Brighton,4,4,341,2,0,11,2,68,78,30.0,28.0,29.0
JOAO CANCELO,Portugal,DF,32,Barcelona,5,5,314,0,1,12,9,53,53,18.0,40.0,29.0
Vladimir COUFAL,Czechia,DF,33,Hoffenheim,3,3,270,0,1,3,10,45,39,20.0,37.0,29.0
Youri TIELEMANS,Belgium,MF,29,Aston Villa,5,5,475,2,0,7,10,109,96,23.0,33.0,28.0
MARAWAN ATTIA,Egypt,MF,27,,5,4,435,0,1,4,15,45,153,14.0,42.0,28.0
Stephen EUSTAQUIO,Canada,MF,29,Porto,5,4,392,1,0,5,15,67,76,15.0,41.0,28.0
JOAO NEVES,Portugal,MF,21,PSG,5,4,391,1,0,6,9,88,164,15.0,42.0,28.0
Jhon ARIAS,Colombia,MF,28,Palmeiras,5,5,382,1,0,21,7,70,80,15.0,41.0,28.0
Konrad LAIMER,Austria,MF,29,Bayern Munich,4,4,360,0,1,7,8,88,117,16.0,39.0,28.0
Ryan GRAVENBERCH,Netherlands,MF,24,Liverpool,4,4,347,0,2,12,3,69,39,29.0,26.0,28.0
RAYAN,Brazil,FW,19,Bournemouth,4,3,289,0,1,9,5,38,102,19.0,36.0,28.0
Amir MURILLO,Panama,DF,30,Beşiktaş,3,3,270,0,0,14,12,39,53,5.0,52.0,28.0
Daniel MUNOZ,Colombia,DF,30,Crystal Palace,5,4,393,2,0,2,5,141,44,27.0,26.0,27.0
Joshua KIMMICH,Germany,DF,31,Bayern Munich,4,4,353,0,2,3,9,12,46,29.0,26.0,27.0
Luis SUAREZ,Colombia,FW,28,Sporting CP,5,3,333,0,1,6,2,176,91,17.0,36.0,27.0
James RODRIGUEZ,Colombia,MF,34,Minnesota Utd,5,5,317,0,0,3,14,48,138,4.0,50.0,27.0
Djed SPENCE,England,DF,25,Tottenham,7,3,313,0,0,14,12,39,87,4.0,50.0,27.0
Ritsu DOAN,Japan,MF,27,Frankfurt,4,4,281,0,1,4,5,54,95,19.0,34.0,27.0
Patrick BERG,Norway,MF,28,Bodø/Glimt,6,4,444,0,2,11,1,91,141,25.0,26.0,26.0
Pedro VITE,Ecuador,MF,24,UNAM,4,4,360,0,1,5,9,66,90,16.0,35.0,26.0
Antonee ROBINSON,USA,DF,28,Fulham,4,4,350,0,0,20,13,55,48,4.0,49.0,26.0
RYAN MENDES,Cabo Verde,FW,36,,4,4,332,0,1,11,4,75,88,17.0,34.0,26.0
SIDNY LOPES CABRAL,Cabo Verde,DF,23,Benfica,3,3,286,1,0,16,3,24,68,19.0,33.0,26.0
MERCHAS DOSKI,Iraq,DF,26,Viktoria Plzeň,3,3,270,0,0,9,13,26,40,5.0,47.0,26.0
Pedro PORRO,Spain,DF,26,Tottenham,6,6,564,2,0,6,17,71,61,20.0,31.0,25.0
Ricardo RODRIGUEZ,Switzerland,DF,33,Real Betis,6,6,525,0,1,4,24,46,44,12.0,39.0,25.0
Tajon BUCHANAN,Canada,FW,27,Villarreal,5,5,381,0,0,23,9,62,104,3.0,47.0,25.0
Arthur MASUAKU,Congo DR,DF,32,Lens,4,4,319,0,1,10,6,9,92,18.0,32.0,25.0
Luka MODRIC,Croatia,MF,40,Milan,4,4,319,0,1,5,9,45,36,18.0,32.0,25.0
Miguel ALMIRON,Paraguay,MF,32,Atlanta Utd,4,4,288,0,0,18,6,32,102,5.0,45.0,25.0
Mateo KOVACIC,Croatia,MF,32,Manchester City,4,3,272,0,1,9,3,17,79,20.0,30.0,25.0
Teboho MOKOENA,South Africa,MF,29,Sundowns,3,3,270,1,0,2,6,31,73,20.0,31.0,25.0
Adrien RABIOT,France,MF,31,Milan,6,6,495,0,1,14,11,95,82,12.0,35.0,24.0
Fares CHAIBI,Algeria,MF,23,Frankfurt,4,4,360,0,0,10,10,74,124,4.0,45.0,24.0
Jordan BOS,Australia,DF,23,Feyenoord,4,4,309,0,0,19,8,35,63,4.0,44.0,24.0
Ghislain KONAN,Côte d'Ivoire,DF,30,Gil Vicente FC,3,3,270,0,0,13,9,21,55,5.0,43.0,24.0
Rodrigo DE PAUL,Argentina,MF,32,Inter Miami,7,6,495,0,1,10,9,93,147,12.0,35.0,23.0
Aiden ONEILL,Australia,MF,27,NYCFC,4,4,360,0,0,10,12,41,90,4.0,42.0,23.0
Josip STANISIC,Croatia,DF,26,Bayern Munich,4,4,360,0,1,3,9,49,58,16.0,29.0,23.0
John YEBOAH,Ecuador,FW,25,Venezia,4,4,315,0,0,15,9,55,53,4.0,43.0,23.0
Julian ALVAREZ,Argentina,FW,26,Atlético Madrid,8,5,601,1,0,9,4,189,248,10.0,34.0,22.0
Granit XHAKA,Switzerland,MF,33,Sunderland,6,6,600,1,0,14,15,82,98,10.0,33.0,22.0
Richie LARYEA,Canada,DF,31,Toronto FC,5,5,431,0,0,15,15,54,51,3.0,41.0,22.0
Piero HINCAPIE,Ecuador,DF,24,Arsenal,4,4,341,0,0,7,13,47,51,4.0,40.0,22.0
Elliot ANDERSON,England,MF,23,Nottingham,7,7,623,0,1,9,17,60,124,10.0,32.0,21.0
Declan RICE,England,MF,27,Arsenal,6,6,470,0,1,7,10,65,77,13.0,28.0,21.0
CASEMIRO,Brazil,MF,34,Manchester Utd,5,5,380,1,0,5,8,24,77,15.0,27.0,21.0
Antoine SEMENYO,Ghana,MF,26,Manchester City,4,4,360,0,0,18,5,57,103,4.0,38.0,21.0
Rafik BELGHALI,Algeria,DF,24,Hellas Verona,4,4,333,1,0,8,3,64,54,17.0,26.0,21.0
Jordan AYEW,Ghana,FW,34,Leicester City,4,4,304,0,0,3,3,65,193,5.0,38.0,21.0
Guela DOUE,Côte d'Ivoire,DF,23,Strasbourg,4,3,278,0,0,5,9,39,59,5.0,38.0,21.0
Leandro BACUNA,Curaçao,MF,34,,3,3,270,0,0,11,4,31,93,5.0,36.0,21.0
Martin EXPERIENCE,Haiti,DF,27,Nancy,3,3,270,0,0,8,6,52,65,5.0,37.0,21.0
Marc CUCURELLA,Spain,DF,27,Chelsea,8,8,750,0,2,6,13,175,87,16.0,24.0,20.0
Gustavo PUERTA,Colombia,DF,22,Racing Sant,5,5,470,0,1,9,4,100,117,13.0,27.0,20.0
Alistair JOHNSTON,Canada,DF,27,Celtic,5,5,450,0,0,7,17,63,36,2.0,37.0,20.0
Juan Jose CACERES,Paraguay,DF,26,Dynamo Moskva,5,5,440,0,0,11,13,22,113,3.0,37.0,20.0
VITINHA,Portugal,MF,26,PSG,5,5,381,0,0,15,7,46,111,3.0,37.0,20.0
Moises CAICEDO,Ecuador,MF,24,Chelsea,4,4,360,0,0,4,13,39,55,4.0,36.0,20.0
Stefan POSCH,Austria,DF,29,Mainz 05,4,4,333,0,0,3,11,37,74,4.0,36.0,20.0
David ALABA,Austria,DF,33,Real Madrid,4,4,279,0,1,3,5,4,19,19.0,20.0,20.0
Marko STAMENIC,New Zealand,MF,24,Swansea City,3,3,270,0,0,5,9,17,49,5.0,35.0,20.0
Mathias OLIVERA,Uruguay,DF,28,Napoli,3,3,270,0,0,15,6,11,24,5.0,34.0,20.0
MOHAMED HANY,Egypt,DF,30,,5,5,480,0,1,8,9,53,79,13.0,26.0,19.0
Timothy CASTAGNE,Belgium,DF,30,Fulham,6,5,478,0,1,3,8,73,103,13.0,25.0,19.0
David MOLLER WOLFE,Norway,DF,24,Wolves,5,5,433,0,1,8,7,59,48,14.0,24.0,19.0
