player,team,position,age,club,appearances,starts,minutes,goals,assists,take_ons,def_line_breaks,attacking_movement,pressing,output_rating,generation_rating,overall_rating
Jerome OPOKU,Ghana,DF,27,Başakşehir,3,3,270,0,0,2,7,1,3,5.0,22.0,14.0
Sherel FLORANUS,Curaçao,DF,27,Zwolle,3,3,270,0,0,2,3,14,70,5.0,23.0,14.0
Jules KOUNDE,France,DF,27,Barcelona,7,7,602,0,0,10,7,119,106,1.0,24.0,13.0
Remo FREULER,Switzerland,MF,34,Bologna,6,6,594,0,0,5,7,116,162,1.0,26.0,13.0
Lucas DIGNE,France,DF,32,Aston Villa,5,5,420,0,0,3,8,50,48,3.0,23.0,13.0
Krepin DIATTA,Senegal,DF,27,Monaco,4,4,390,0,0,17,4,22,31,3.0,24.0,13.0
Ramy BENSEBAINI,Algeria,DF,31,Dortmund,4,4,360,0,0,6,8,1,25,4.0,22.0,13.0
Tyler ADAMS,USA,MF,27,Bournemouth,4,4,342,0,0,4,6,22,44,4.0,22.0,13.0
STEVEN MOREIRA,Cabo Verde,DF,31,Columbus Crew,4,3,300,0,0,4,3,17,70,5.0,22.0,13.0
AKAM HASHIM,Iraq,DF,27,,3,3,270,0,0,10,3,2,9,5.0,21.0,13.0
Ricardo ADE,Haiti,DF,36,LDU Quito,3,3,270,0,0,3,5,1,19,5.0,21.0,13.0
Sebastian CACERES,Uruguay,DF,26,América,3,3,270,0,0,6,4,2,18,5.0,21.0,13.0
Aymeric LAPORTE,Spain,DF,32,Athletic Club,8,8,729,0,1,17,12,7,30,8.0,16.0,12.0
Nicolas TAGLIAFICO,Argentina,DF,33,Lyon,7,5,477,0,0,4,8,63,73,2.0,23.0,12.0
Johan MOJICA,Colombia,DF,33,Mallorca,4,4,390,0,0,1,8,36,42,3.0,22.0,12.0
Moussa NIAKHATE,Senegal,DF,30,Lyon,4,4,390,0,1,6,1,3,17,15.0,8.0,12.0
Gideon MENSAH,Ghana,DF,27,Auxerre,4,4,360,0,0,3,6,15,45,4.0,20.0,12.0
Nathan NGOY,Belgium,DF,23,Lille,4,4,336,0,0,12,4,0,15,4.0,20.0,12.0
Nabil BENTALEB,Algeria,MF,31,Lille,4,3,288,0,0,5,3,16,30,5.0,20.0,12.0
Jack HENDRY,Scotland,DF,31,Al-Ettifaq,3,3,270,0,0,8,2,3,11,5.0,18.0,12.0
Nahuel MOLINA,Argentina,DF,28,Atlético Madrid,7,5,532,0,0,2,6,92,102,2.0,20.0,11.0
DANILO,Brazil,DF,34,Flamengo,5,4,405,0,0,3,6,45,42,3.0,19.0,11.0
DINEY BORGES,Cabo Verde,DF,31,,4,4,390,0,0,4,8,3,13,3.0,18.0,11.0
PICO LOPES,Cabo Verde,DF,33,Shamrock,4,4,390,0,0,6,7,3,27,3.0,19.0,11.0
Luc DE FOUGEROLLES,Canada,DF,20,Fulham,5,4,372,0,0,8,6,6,19,3.0,20.0,11.0
Gustaf LAGERBIELKE,Sweden,DF,26,Braga,4,4,360,0,0,2,7,2,36,4.0,19.0,11.0
Nicolas SEIWALD,Austria,MF,25,RB Leipzig,4,4,315,0,0,3,2,45,45,4.0,19.0,11.0
Ali NEMATI,IR Iran,DF,30,Foolad,3,3,270,0,0,3,3,3,14,5.0,16.0,11.0
LEE Gihyuk,Korea Republic,MF,25,Gangwon FC,3,3,270,0,0,4,3,0,15,5.0,17.0,11.0
LEE Hanbeom,Korea Republic,DF,23,Midtjylland,3,3,270,0,0,3,3,6,19,5.0,17.0,11.0
Marin PONGRACIC,Croatia,DF,28,Fiorentina,3,3,270,0,0,9,1,2,6,5.0,16.0,11.0
YAZAN ALARAB,Jordan,DF,30,FC Seoul,3,3,270,0,0,8,1,3,12,5.0,16.0,11.0
Davinson SANCHEZ,Colombia,DF,30,Galatasaray,5,5,480,0,0,8,10,0,14,2.0,19.0,10.0
Jefferson LERMA,Colombia,MF,31,Crystal Palace,5,5,412,0,0,6,2,48,69,3.0,17.0,10.0
Harry SOUTTAR,Australia,DF,27,Leicester City,4,4,390,0,0,3,8,3,12,3.0,17.0,10.0
RUBEN DIAS,Portugal,DF,29,Manchester City,4,4,360,0,0,2,6,0,21,4.0,16.0,10.0
Tim REAM,USA,DF,38,Charlotte,4,4,360,0,0,5,6,0,10,4.0,17.0,10.0
Cesar MONTES,Mexico,DF,29,Loko Moscow,4,4,315,0,0,1,5,2,10,4.0,15.0,10.0
Neil EL AYNAOUI,Morocco,MF,24,Roma,6,6,563,0,0,8,3,101,84,1.0,17.0,9.0
Issa DIOP,Morocco,DF,29,Fulham,5,5,477,1,0,2,3,1,19,13.0,5.0,9.0
Noussair MAZRAOUI,Morocco,DF,28,Manchester Utd,6,5,477,0,0,12,5,10,39,2.0,17.0,9.0
GABRIEL MAGALHAES,Brazil,DF,28,Arsenal,5,5,450,0,1,2,2,3,15,13.0,5.0,9.0
DOUGLAS SANTOS,Brazil,DF,32,Zenit,5,5,442,0,0,1,5,38,69,3.0,16.0,9.0
Aissa MANDI,Algeria,DF,34,Lille,4,4,360,0,0,4,5,3,13,4.0,15.0,9.0
Johan VASQUEZ,Mexico,DF,27,Genoa,4,4,360,0,0,6,4,6,8,4.0,14.0,9.0
Josip SUTALO,Croatia,DF,26,Ajax,4,4,360,0,0,7,4,1,8,4.0,15.0,9.0
Emmanuel AGBADOU,Côte d'Ivoire,DF,28,Beşiktaş,3,3,270,0,0,2,1,4,20,5.0,12.0,9.0
Hannes DELCROIX,Haiti,DF,27,Lugano,3,3,270,0,0,1,2,0,12,5.0,12.0,9.0
ISSA LAYE,Qatar,DF,28,,3,3,270,0,0,2,1,2,24,5.0,12.0,9.0
Robin HRANAC,Czechia,DF,26,Hoffenheim,3,3,270,0,0,0,2,2,22,5.0,12.0,9.0
Manuel AKANJI,Switzerland,DF,30,Inter,6,6,600,0,0,17,8,2,23,1.0,16.0,8.0
Andres CUBAS,Paraguay,MF,30,Vancouver,5,5,480,0,0,1,1,13,174,2.0,15.0,8.0
Sander BERGE,Norway,MF,28,Fulham,5,5,480,0,0,2,4,32,84,2.0,14.0,8.0
YASSER IBRAHIM,Egypt,DF,33,,5,4,466,1,0,3,1,0,22,13.0,4.0,8.0
RENATO VEIGA,Portugal,DF,22,Villarreal,5,5,450,0,0,8,4,2,34,2.0,13.0,8.0
RAMY RABIA,Egypt,DF,33,,5,3,368,0,0,8,2,6,20,3.0,13.0,8.0
Willian PACHO,Ecuador,DF,24,PSG,4,4,360,0,0,6,2,0,39,4.0,13.0,8.0
Victor LINDELOF,Sweden,DF,31,Aston Villa,4,4,357,0,0,6,3,3,14,4.0,13.0,8.0
Abdukodir KHUSANOV,Uzbekistan,DF,22,Manchester City,3,3,270,0,0,0,1,4,15,5.0,10.0,8.0
Armando OBISPO,Curaçao,DF,27,PSV,3,3,270,0,0,2,1,2,15,5.0,11.0,8.0
Jose CORDOBA,Panama,DF,25,Norwich City,3,3,270,0,0,2,1,1,9,5.0,11.0,8.0
Shoja KHALILZADEH,IR Iran,DF,37,Tractor,3,3,270,0,0,1,1,0,14,5.0,10.0,8.0
Nico ELVEDI,Switzerland,DF,29,Gladbach,6,6,600,0,0,23,2,3,36,1.0,13.0,7.0
Marc GUEHI,England,DF,25,Manchester City,7,6,573,0,0,11,8,2,15,1.0,13.0,7.0
Brandon MECHELE,Belgium,DF,33,Club Brugge,6,6,570,0,0,15,4,6,33,1.0,12.0,7.0
Torbjorn HEGGEM,Norway,DF,27,Bologna,5,5,444,0,0,8,4,2,20,2.0,12.0,7.0
Jonathan TAH,Germany,DF,30,Bayern Munich,4,4,373,0,0,4,3,3,18,3.0,11.0,7.0
Ime OKON,South Africa,DF,22,Hannover 96,4,4,360,0,0,4,2,3,17,4.0,10.0,7.0
Omar ALDERETE,Paraguay,DF,29,Sunderland,4,4,322,0,0,1,3,2,6,4.0,11.0,7.0
Derek CORNELIUS,Canada,DF,28,Marseille,4,4,315,0,0,0,2,2,23,4.0,10.0,7.0
Odilon KOSSOUNOU,Côte d'Ivoire,DF,25,Atalanta,4,3,271,0,0,1,1,1,9,5.0,10.0,7.0
Cristian ROMERO,Argentina,DF,28,Tottenham,7,7,613,1,0,8,1,7,30,10.0,3.0,6.0
Jhon LUCUMI,Colombia,DF,27,Bologna,5,5,479,0,0,4,6,0,17,2.0,11.0,6.0
MARQUINHOS,Brazil,DF,32,PSG,5,5,450,0,0,1,4,3,33,2.0,9.0,6.0
Chris RICHARDS,USA,DF,26,Crystal Palace,4,4,360,0,0,2,2,2,11,4.0,8.0,6.0
John STONES,England,DF,32,Manchester City,5,3,330,0,0,3,1,2,14,4.0,9.0,6.0
Nikola KATIC,Bosnia and Herzegovina,DF,29,Schalke 04,4,4,319,0,0,1,1,0,25,4.0,9.0,6.0
Montassar TALBI,Tunisia,DF,28,Lorient,3,3,270,0,0,0,0,3,11,5.0,7.0,6.0
Ezri KONSA,England,DF,28,Aston Villa,7,6,557,0,0,7,3,7,46,1.0,8.0,5.0
Kristoffer AJER,Norway,DF,28,Brentford,5,5,480,0,0,12,1,4,21,2.0,9.0,5.0
Axel TUANZEBE,Congo DR,DF,28,Burnley,4,4,360,0,0,5,0,4,10,4.0,7.0,5.0
Pau CUBARSI,Spain,DF,19,Barcelona,8,8,750,0,0,14,7,0,20,0.0,8.0,4.0
Dayot UPAMECANO,France,DF,27,Bayern Munich,7,7,616,0,0,4,6,6,28,1.0,7.0,4.0
William SALIBA,France,DF,25,Arsenal,6,6,480,0,0,3,1,2,14,2.0,3.0,2.0
Gustavo GOMEZ,Paraguay,DF,33,Palmeiras,5,5,480,0,0,0,0,2,21,2.0,0.0,1.0
